"","Country","BattleDeaths","InterpersonalInjuries","PolStability","Voice","GovEffect","RegQuality","RuleofLaw","Corruption","BirthRegistration","IC.BUS.EASE.XQ","BLeducationyears","tenyearavg","SI.POV.GINI","Health.Care.Capabilities","WorldRiskIndex"
"309","Sudan",576,99,-1.76,-1.41,-1.49,-1.51,-1.44,-1.36,59,186,NA,7.34209090909091,35.29,1,8.08
"310","Sudan",576,271.9,-2.2,-1.78,-1.53,-1.44,-1.25,-1.49,35,186,2.53,NA,35.29,1,8.08
"311","Sudan",576,271.9,-2.2,-1.78,-1.53,-1.44,-1.25,-1.49,35,186,2.53,NA,35.29,1,8.08
"312","Sudan",576,271.9,-2.2,-1.78,-1.53,-1.44,-1.25,-1.49,35,186,2.53,7.34209090909091,35.29,1,8.08
"313","Sudan",576,271.9,-2.2,-1.78,-1.53,-1.44,-1.25,-1.49,35,186,2.53,7.34209090909091,35.29,1,8.08
"314","Sudan",576,99,-1.76,-1.41,-1.49,-1.51,-1.44,-1.36,59,160,NA,NA,35.29,1,8.08
"315","Sudan",576,99,-1.76,-1.41,-1.49,-1.51,-1.44,-1.36,59,160,NA,NA,35.29,1,8.08
"316","Sudan",576,271.9,-2.2,-1.78,-1.53,-1.44,-1.25,-1.49,35,160,NA,7.34209090909091,35.29,1,8.08
"317","Sudan",576,271.9,-2.2,-1.78,-1.53,-1.44,-1.25,-1.49,35,160,NA,7.34209090909091,35.29,1,8.08
"318","Sudan",576,271.9,-2.2,-1.78,-1.53,-1.44,-1.25,-1.49,35,160,2.53,NA,35.29,1,8.08
"319","Sudan",576,271.9,-2.2,-1.78,-1.53,-1.44,-1.25,-1.49,35,160,2.53,NA,35.29,1,8.08
"320","Sudan",576,271.9,-2.2,-1.78,-1.53,-1.44,-1.25,-1.49,35,160,2.53,7.34209090909091,35.29,1,8.08
"321","Sudan",576,271.9,-2.2,-1.78,-1.53,-1.44,-1.25,-1.49,35,160,2.53,7.34209090909091,35.29,1,8.08
"322","Sudan",576,271.9,-2.2,-1.78,-1.53,-1.44,-1.25,-1.49,59,186,NA,NA,35.29,1,8.08
"323","Sudan",576,271.9,-2.2,-1.78,-1.53,-1.44,-1.25,-1.49,59,186,NA,NA,35.29,1,8.08
"324","Sudan",1269,99,-2.2,-1.78,-1.53,-1.44,-1.25,-1.49,35,186,NA,7.34209090909091,35.29,1,8.08
"325","Sudan",1269,99,-2.2,-1.78,-1.53,-1.44,-1.25,-1.49,35,186,NA,7.34209090909091,35.29,1,8.08
"326","Sudan",576,271.9,-2.2,-1.78,-1.53,-1.44,-1.25,-1.49,59,186,2.53,NA,35.29,1,8.08
"327","Sudan",576,271.9,-2.2,-1.78,-1.53,-1.44,-1.25,-1.49,59,186,2.53,NA,35.29,1,8.08
"328","Sudan",576,271.9,-2.2,-1.78,-1.53,-1.44,-1.25,-1.49,59,186,2.53,7.34209090909091,35.29,1,8.08
"329","Sudan",576,271.9,-2.2,-1.78,-1.53,-1.44,-1.25,-1.49,59,186,2.53,7.34209090909091,35.29,1,8.08
"330","Sudan",1269,271.9,-1.76,-1.41,-1.49,-1.51,-1.44,-1.36,35,160,NA,NA,35.29,1,8.08
"331","Sudan",1269,271.9,-1.76,-1.41,-1.49,-1.51,-1.44,-1.36,35,160,NA,NA,35.29,1,8.08
"332","Sudan",1269,271.9,-1.76,-1.41,-1.49,-1.51,-1.44,-1.36,59,186,NA,7.34209090909091,35.29,1,8.08
"333","Sudan",1269,271.9,-1.76,-1.41,-1.49,-1.51,-1.44,-1.36,59,186,NA,7.34209090909091,35.29,1,8.08
"334","Sudan",1269,271.9,-1.76,-1.41,-1.49,-1.51,-1.44,-1.36,35,186,NA,7.34209090909091,35.29,1,8.08
"335","Sudan",576,271.9,-2.2,-1.78,-1.53,-1.44,-1.25,-1.49,59,160,2.53,NA,35.29,1,8.08
"336","Sudan",1269,271.9,-1.76,-1.41,-1.49,-1.51,-1.44,-1.36,35,160,2.53,7.34209090909091,35.29,1,8.08
"337","Sudan",1269,271.9,-1.76,-1.41,-1.49,-1.51,-1.44,-1.36,35,160,2.53,7.34209090909091,35.29,1,8.08
